snapshot,carrier,region,components,components_t,attribute,value,status,aggregation
1/7/2020,nuclear,KR,generators,generators_t,fuel_cost,6.047,FALSE,national
1/7/2020,bituminous,KR,generators,generators_t,fuel_cost,53.156,FALSE,national
1/7/2020,anthracite,KR,generators,generators_t,fuel_cost,64.109,FALSE,national
1/7/2020,oil,KR,generators,generators_t,fuel_cost,180.881,FALSE,national
1/7/2020,LNG,KR,generators,generators_t,fuel_cost,78.576,FALSE,national
1/6/2020,nuclear,KR,generators,generators_t,fuel_cost,6.041,FALSE,national
1/6/2020,bituminous,KR,generators,generators_t,fuel_cost,53.393,FALSE,national
1/6/2020,anthracite,KR,generators,generators_t,fuel_cost,69.36,FALSE,national
1/6/2020,oil,KR,generators,generators_t,fuel_cost,182.422,FALSE,national
1/6/2020,LNG,KR,generators,generators_t,fuel_cost,80.523,FALSE,national
1/5/2020,nuclear,KR,generators,generators_t,fuel_cost,6.039,FALSE,national
1/5/2020,bituminous,KR,generators,generators_t,fuel_cost,53.653,FALSE,national
1/5/2020,anthracite,KR,generators,generators_t,fuel_cost,62.736,FALSE,national
1/5/2020,oil,KR,generators,generators_t,fuel_cost,188.297,FALSE,national
1/5/2020,LNG,KR,generators,generators_t,fuel_cost,84.95,FALSE,national
1/4/2020,nuclear,KR,generators,generators_t,fuel_cost,6.032,FALSE,national
1/4/2020,bituminous,KR,generators,generators_t,fuel_cost,51.987,FALSE,national
1/4/2020,anthracite,KR,generators,generators_t,fuel_cost,64.881,FALSE,national
1/4/2020,oil,KR,generators,generators_t,fuel_cost,187.295,FALSE,national
1/4/2020,LNG,KR,generators,generators_t,fuel_cost,80.905,FALSE,national
1/3/2020,nuclear,KR,generators,generators_t,fuel_cost,6.023,FALSE,national
1/3/2020,bituminous,KR,generators,generators_t,fuel_cost,51.902,FALSE,national
1/3/2020,anthracite,KR,generators,generators_t,fuel_cost,69.368,FALSE,national
1/3/2020,oil,KR,generators,generators_t,fuel_cost,186.063,FALSE,national
1/3/2020,LNG,KR,generators,generators_t,fuel_cost,84.223,FALSE,national
1/2/2020,nuclear,KR,generators,generators_t,fuel_cost,5.995,FALSE,national
1/2/2020,bituminous,KR,generators,generators_t,fuel_cost,52.091,FALSE,national
1/2/2020,anthracite,KR,generators,generators_t,fuel_cost,70.433,FALSE,national
1/2/2020,oil,KR,generators,generators_t,fuel_cost,186.716,FALSE,national
